M,Lambda,x,Delta,eta_C,T_b,T_c
1e-08,1.0005432057458492,1.1550141224546506e-08,1.0879841527524335e-07,0.999999976899718,3978873.57729738,0.09191310187238876
1e-08,1.0005432058545884,1.1550141225174138e-08,1.0879841526933124e-07,0.999999976899718,3978873.57729738,0.09191310187738333
1e-08,1.0005432059633277,1.1550141225801776e-08,1.0879841526341907e-07,0.999999976899718,3978873.577297381,0.09191310188237786
1e-08,1.000543206072067,1.1550141226429408e-08,1.0879841525750699e-07,0.999999976899718,3978873.577297381,0.09191310188737248
1e-08,1.0005432061808062,1.1550141227057048e-08,1.0879841525159487e-07,0.999999976899718,3978873.57729738,0.09191310189236701
1e-08,1.0005432062895454,1.1550141227684684e-08,1.0879841524568276e-07,0.999999976899718,3978873.57729738,0.09191310189736157
1e-08,1.0005432063982846,1.1550141228312317e-08,1.0879841523977066e-07,0.999999976899718,3978873.57729738,0.09191310190235619
1e-08,1.0005432065070239,1.1550141228939956e-08,1.0879841523385855e-07,0.999999976899718,3978873.57729738,0.09191310190735076
1e-08,1.0005432066157631,1.1550141229567587e-08,1.0879841522794636e-07,0.999999976899718,3978873.5772973816,0.0919131019123453
1e-08,1.0005432067245024,1.1550141230195224e-08,1.0879841522203428e-07,0.999999976899718,3978873.577297381,0.09191310191733988
1e-08,1.0005432068332416,1.155014123082286e-08,1.087984152161222e-07,0.999999976899718,3978873.57729738,0.09191310192233444
1e-08,1.0005432069419808,1.1550141231450495e-08,1.0879841521021009e-07,0.999999976899718,3978873.57729738,0.09191310192732904
1e-08,1.00054320705072,1.1550141232078132e-08,1.0879841520429796e-07,0.999999976899718,3978873.57729738,0.0919131019323236
1e-08,1.0005432071594593,1.1550141232705768e-08,1.0879841519838581e-07,0.999999976899718,3978873.577297381,0.09191310193731812
1e-08,1.0005432072681986,1.1550141233333405e-08,1.0879841519247371e-07,0.999999976899718,3978873.57729738,0.09191310194231272
1e-08,1.0005432073769378,1.1550141233961038e-08,1.0879841518656159e-07,0.999999976899718,3978873.577297381,0.09191310194730729
1e-08,1.000543207485677,1.1550141234588676e-08,1.0879841518064946e-07,0.999999976899718,3978873.577297381,0.09191310195230183
1e-08,1.0005432075944163,1.1550141235216314e-08,1.0879841517473734e-07,0.999999976899718,3978873.57729738,0.09191310195729638
1e-08,1.0005432077031555,1.1550141235843949e-08,1.087984151688252e-07,0.999999976899718,3978873.577297381,0.09191310196229094
1e-08,1.0005432078118948,1.1550141236471582e-08,1.087984151629131e-07,0.999999976899718,3978873.577297381,0.09191310196728555
1e-08,1.000543207920634,1.155014123709922e-08,1.08798415157001e-07,0.999999976899718,3978873.57729738,0.09191310197228009
1e-08,1.0005432080293732,1.1550141237726859e-08,1.0879841515108887e-07,0.999999976899718,3978873.57729738,0.09191310197727465
1e-08,1.0005432081381125,1.1550141238354489e-08,1.0879841514517676e-07,0.9999999768997179,3978873.577297381,0.09191310198226925
1e-08,1.0005432082468517,1.1550141238982127e-08,1.0879841513926463e-07,0.9999999768997179,3978873.577297381,0.0919131019872638
1e-08,1.000543208355591,1.1550141239609763e-08,1.087984151333525e-07,0.9999999768997179,3978873.577297381,0.09191310199225836
1e-08,1.0005432084643302,1.15501412402374e-08,1.0879841512744044e-07,0.9999999768997179,3978873.57729738,0.09191310199725296
1e-08,1.0005432085730694,1.1550141240865035e-08,1.0879841512152832e-07,0.9999999768997179,3978873.57729738,0.09191310200224753
1e-08,1.0005432086818087,1.1550141241492674e-08,1.0879841511561617e-07,0.9999999768997179,3978873.57729738,0.09191310200724204
1e-08,1.000543208790548,1.1550141242120306e-08,1.0879841510970408e-07,0.9999999768997179,3978873.57729738,0.09191310201223664
1e-08,1.0005432088992872,1.1550141242747941e-08,1.0879841510379198e-07,0.9999999768997179,3978873.57729738,0.09191310201723124
1e-08,1.0005432090080264,1.1550141243375576e-08,1.0879841509787982e-07,0.9999999768997179,3978873.577297381,0.09191310202222579
1e-08,1.0005432091167656,1.1550141244003214e-08,1.0879841509196773e-07,0.9999999768997179,3978873.57729738,0.09191310202722036
1e-08,1.0005432092255049,1.155014124463085e-08,1.0879841508605562e-07,0.9999999768997179,3978873.57729738,0.09191310203221492
1e-08,1.0005432093342441,1.1550141245258489e-08,1.0879841508014348e-07,0.9999999768997179,3978873.57729738,0.09191310203720947
1e-08,1.0005432094429834,1.1550141245886123e-08,1.0879841507423139e-07,0.9999999768997179,3978873.57729738,0.09191310204220406
1e-08,1.0005432095517226,1.1550141246513752e-08,1.0879841506831927e-07,0.9999999768997179,3978873.577297381,0.09191310204719867
1e-08,1.0005432096604618,1.1550141247141398e-08,1.087984150624071e-07,0.9999999768997179,3978873.57729738,0.09191310205219315
1e-08,1.000543209769201,1.155014124776903e-08,1.0879841505649501e-07,0.9999999768997179,3978873.57729738,0.09191310205718774
1e-08,1.0005432098779403,1.1550141248396661e-08,1.0879841505058294e-07,0.9999999768997179,3978873.57729738,0.09191310206218238
1e-08,1.0005432099866796,1.1550141249024304e-08,1.0879841504467077e-07,0.9999999768997179,3978873.57729738,0.09191310206717686
1e-08,1.0005432100954188,1.1550141249651943e-08,1.0879841503875864e-07,0.9999999768997179,3978873.57729738,0.09191310207217139
1e-08,1.000543210204158,1.1550141250279574e-08,1.0879841503284655e-07,0.9999999768997179,3978873.57729738,0.09191310207716603
1e-08,1.0005432103128973,1.155014125090721e-08,1.0879841502693438e-07,0.9999999768997179,3978873.577297381,0.09191310208216054
1e-08,1.0005432104216365,1.1550141251534844e-08,1.0879841502102227e-07,0.9999999768997179,3978873.577297381,0.09191310208715514
1e-08,1.0005432105303758,1.1550141252162477e-08,1.087984150151102e-07,0.9999999768997179,3978873.577297381,0.09191310209214973
1e-08,1.000543210639115,1.1550141252790115e-08,1.0879841500919805e-07,0.9999999768997179,3978873.577297381,0.09191310209714428
1e-08,1.0005432107478542,1.1550141253417754e-08,1.0879841500328596e-07,0.9999999768997179,3978873.57729738,0.09191310210213884
