x,Delta,eta_C,M,T_ratio
9.942313535093122434e-01,3.141557603900741569e+00,3.849476077457148447e-03,3.333291495897456325e-01,9.961505239225429964e-01
9.943517251533053880e-01,3.141559055422773028e+00,3.769074741587293172e-03,3.333293228520310403e-01,9.962309252584127250e-01
9.944695912931522663e-01,3.141560446824154695e+00,3.690350093937459167e-03,3.333294889379744275e-01,9.963096499060625222e-01
9.945850038374215440e-01,3.141561780595707898e+00,3.613267266159131495e-03,3.333296481448931869e-01,9.963867327338409297e-01
9.946980136283786189e-01,3.141563059125000112e+00,3.537792111626951713e-03,3.333298007577796818e-01,9.964622078883730305e-01
9.948086704635666910e-01,3.141564284700635312e+00,3.463891190602765534e-03,3.333299470498140016e-01,9.965361088093972475e-01
9.949170231169618406e-01,3.141565459516354686e+00,3.391531755702499856e-03,3.333300872828522943e-01,9.966084682442976073e-01
9.950231193597111057e-01,3.141566585674977929e+00,3.320681737658514807e-03,3.333302217078986662e-01,9.966793182623414626e-01
9.951270059804573354e-01,3.141567665192170011e+00,3.251309731374710764e-03,3.333303505655533794e-01,9.967486902686252259e-01
9.952287288052622527e-01,3.141568700000062275e+00,3.183384982265691568e-03,3.333304740864463933e-01,9.968166150177343310e-01
9.953283327171362771e-01,3.141569691950708343e+00,3.116877372873574567e-03,3.333305924916485918e-01,9.968831226271264168e-01
9.954258616751781030e-01,3.141570642819419668e+00,3.051757409760417431e-03,3.333307059930711302e-01,9.969482425902397305e-01
9.955213587333364700e-01,3.141571554307930114e+00,2.987996210666359065e-03,3.333308147938421340e-01,9.970120037893336340e-01
9.956148660587996746e-01,3.141572428047464172e+00,2.925565491930048109e-03,3.333309190886736273e-01,9.970744345080700954e-01
9.957064249500181541e-01,3.141573265601649734e+00,2.864437556166883440e-03,3.333310190642088666e-01,9.971355624438331677e-01
9.957960758543694668e-01,3.141574068469323855e+00,2.804585280198227965e-03,3.333311148993574058e-01,9.971954147198018870e-01
9.958838583854736637e-01,3.141574838087224819e+00,2.745982103225825567e-03,3.333312067656163946e-01,9.972540178967741475e-01
9.959698113401600494e-01,3.141575575832558087e+00,2.688602015250451949e-03,3.333312948273770004e-01,9.973113979847495481e-01
9.960539727151004330e-01,3.141576283025467653e+00,2.632419545723792970e-03,3.333313792422187838e-01,9.973675804542763146e-01
9.961363797231080897e-01,3.141576960931404372e+00,2.577409752434180624e-03,3.333314601611933603e-01,9.974225902475659655e-01
9.962170688091126491e-01,3.141577610763393036e+00,2.523548210618351342e-03,3.333315377290941850e-01,9.974764517893816018e-01
9.962960756658156836e-01,3.141578233684198640e+00,2.470811002296155728e-03,3.333316120847155672e-01,9.975291889977039306e-01
9.963734352490348778e-01,3.141578830808420264e+00,2.419174705822159464e-03,3.333316833611024155e-01,9.975808252941779086e-01
9.964491817927400019e-01,3.141579403204476595e+00,2.368616385651793957e-03,3.333317516857874363e-01,9.976313836143481106e-01
9.965233488237903448e-01,3.141579951896529277e+00,2.319113582315230574e-03,3.333318171810203956e-01,9.976808864176847091e-01
9.965959691763746076e-01,3.141580477866311227e+00,2.270644302597893405e-03,3.333318799639866659e-01,9.977293556974022870e-01
9.966670750061642492e-01,3.141580982054885673e+00,2.223187009919880622e-03,3.333319401470169474e-01,9.977768129900801419e-01
9.967366978041818371e-01,3.141581465364339021e+00,2.176720614913232790e-03,3.333319978377897175e-01,9.978232793850867477e-01
